date,sentimentScore,niftyIndexChange,niftyIndex
2019-03-28,-0.1589232394366197,=C328-C329,11570.0
2019-03-27,-0.1435077519379845,=C329-C330,11445.05
2019-03-26,-0.10739626865671638,=C330-C331,11483.25
2019-03-25,-0.10799808429118762,=C331-C332,11354.25
2019-03-22,-0.13637027027027027,=C332-C333,11456.9
2019-03-20,-0.10658618181818177,=C333-C334,11521.05
2019-03-19,-0.20103962962962982,=C334-C335,11532.4
2019-03-18,-0.16191766917293254,=C335-C336,11462.2
2019-03-15,-0.13941732283464578,=C336-C337,11426.85
2019-03-14,-0.0692996336996336,=C337-C338,11343.25
2019-03-13,-0.13962208333333334,=C338-C339,11341.7
2019-03-12,-0.12013975409836065,=C339-C340,11301.2
2019-03-11,-0.11995676691729319,=C340-C341,11168.05
2019-03-08,-0.12535893536121673,=C341-C342,11035.4
2019-03-07,-0.1271499999999999,=C342-C343,11058.2
2019-03-06,-0.13465574912891987,=C343-C344,11053.0
2019-03-05,-0.1791739583333333,=C344-C345,10987.45
2019-03-01,-0.16137719298245615,=C345-C346,10863.5
2019-02-28,-0.06410103806228369,=C346-C347,10792.5
2019-02-27,-0.1376325581395349,=C347-C348,10806.65
2019-02-26,-0.14212087542087545,=C348-C349,10835.3
2019-02-25,-0.11790469314079421,=C349-C350,10880.1
2019-02-22,-0.16114839857651242,=C350-C351,10791.65
2019-02-21,-0.1672542857142858,=C351-C352,10789.85
2019-02-20,-0.15602410071942452,=C352-C353,10735.45
2019-02-19,-0.17320996563573884,=C353-C354,10604.35
2019-02-18,-0.18580111111111108,=C354-C355,10640.95
2019-02-15,-0.12078950819672127,=C355-C356,10724.4
2019-02-14,-0.16561601423487546,=C356-C357,10746.05
2019-02-13,-0.1308662020905923,=C357-C358,10793.65
2019-02-12,-0.15729854545454525,=C358-C359,10831.4
2019-02-11,-0.12235218978102191,=C359-C360,10888.8
2019-02-08,-0.12357490636704105,=C360-C361,10943.6
2019-02-07,-0.13422030651341002,=C361-C362,11069.4
2019-02-06,-0.18421737451737444,=C362-C363,11062.45
